text,label,language
"I went to the store yesterday and bought some groceries. The weather was nice so I walked instead of driving. It felt good to be outside after being stuck indoors all week.",0,en
"My dog absolutely loves going to the park! She gets so excited when she sees other dogs to play with. Sometimes she's a bit too energetic and knocks things over, but I can't stay mad at her.",0,en
"Just finished reading this amazing book about space exploration. I couldn't put it down! The author really knows how to tell a story. Would definitely recommend it to anyone who likes science fiction.",0,en
"Cooking dinner tonight was a disaster. I burned the rice and the vegetables were way too salty. Oh well, at least the family was nice about it. We ended up ordering pizza instead lol",0,en
"The concert last night was incredible!! The band played all my favorite songs and the crowd energy was amazing. My voice is completely gone from all the singing along haha",0,en
"Working from home has its pros and cons. I love not having to commute but sometimes I really miss chatting with my coworkers. The coffee at the office was way better too.",0,en
"My kids are driving me crazy today. Summer break just started and they're already bored. Trying to think of activities that don't involve screens is harder than I thought it would be.",0,en
"Finally got around to cleaning out the garage this weekend. Found so much stuff I forgot we had! It's kind of like a trip down memory lane, honestly.",0,en
"The new coffee shop downtown is pretty good. The barista was super friendly and they have this cool vintage decor. Prices are a bit steep though.",0,en
"Can't believe it's already June. This year is flying by so fast! Feels like just yesterday we were celebrating New Year's. Time is weird like that I guess.",0,en
"Had the worst customer service experience at the phone store today. Waited for an hour and then they told me they couldn't help me. So frustrating!",0,en
"Made homemade pasta for the first time and it actually turned out pretty decent! Who knew flour and eggs could be so satisfying to work with?",0,en
"The sunset tonight was absolutely gorgeous. All those pinks and oranges... I just stood there staring at it for like 20 minutes. Nature is amazing sometimes.",0,en
"My neighbor's cat keeps sneaking into our backyard. At first I was annoyed but now I kind of look forward to seeing the little guy. He's pretty cute tbh.",0,en
"Tried that new workout app everyone's been talking about. It kicked my butt! Definitely sore today but I'm gonna keep at it.",0,en
"Ugh Monday mornings are the worst. Spilled coffee on my shirt, missed the bus, and now I'm late for work. Can this day just be over already?",0,en
"Just adopted a rescue dog and I'm already in love! She's a bit shy but warming up to us. Best decision ever.",0,en
"Why do I always procrastinate on everything? Told myself I'd clean the apartment today and here I am watching Netflix again...",0,en
"Road trip with friends this weekend was epic! Got lost twice but that's part of the adventure right? Already planning the next one.",0,en
"My grandmother's cooking is literally the best. No restaurant can compare to her homemade soup. Miss her so much.",0,en
"Started learning guitar last month. My fingers hurt like crazy but I can finally play a full song! Small wins.",0,en
"The traffic in this city is absolutely insane. Took me 2 hours to get home today. Seriously considering moving.",0,en
"Found an old photo album from college today. So many memories! We looked so young and clueless haha.",0,en
"My roommate ate my leftovers again. I'm not even mad anymore, just disappointed. Time to get a mini fridge for my room.",0,en
"First time skiing and I fell like 50 times. But by the end I could actually go down the bunny slope! Progress!",0,en
"So I was telling my friend about this crazy thing that happened at work right, and she just couldn't believe it! Like literally her jaw dropped.",0,en
"ngl this new album slaps hard fr fr. been listening to it on repeat all day and i still can't get enough. the production is insane!!",0,en
"Does anyone else feel like time moves differently on Sundays? Like somehow it's both the longest and shortest day of the week???",0,en
